Wavelength (micron)  Background (photon/sec/pixel)
       1.9040121       73.245423
       1.9042290       72.474244
       1.9044460       71.701491
       1.9046631       70.926739
       1.9048800       70.150839
       1.9050970       69.373364
       1.9053140       68.594316
       1.9055310       67.813264
       1.9057480       67.031068
       1.9059651       66.246867
       1.9061821       65.461522
       1.9063990       64.674603
       1.9066160       63.886111
       1.9068331       63.095610
       1.9070500       62.303969
       1.9072671       61.510319
       1.9074841       60.715530
       1.9077010       59.919167
       1.9079180       59.121230
       1.9081351       58.321280
       1.9083520       57.520196
       1.9085691       56.717096
       1.9087861       55.912862
       1.9090030       55.107056
       1.9092200       54.299675
       1.9094371       53.490276
       1.9096540       52.679747
       1.9098711       51.867197
       1.9100881       51.053520
       1.9103050       50.238269
       1.9105220       49.421444
       1.9107391       48.602596
       1.9109560       47.782623
       1.9111731       46.960624
       1.9113901       46.137503
       1.9116070       45.312808
       1.9118240       44.486539
       1.9120411       43.658241
       1.9122580       42.828824
       1.9124751       41.997376
       1.9126921       41.164810
       1.9129090       40.330671
       1.9131260       39.494958
       1.9133431       38.657211
       1.9135600       37.818350
       1.9137771       36.977452
       1.9139941       36.135443
       1.9142110       35.291859
       1.9144280       34.446702
       1.9146451       33.599506
       1.9148620       32.751200
       1.9150791       31.900854
       1.9152961       31.049400
       1.9155130       30.196372
       1.9157300       29.341771
       1.9159471       28.485125
       1.9161640       27.627376
       1.9163810       26.768053
       1.9165981       25.906682
       1.9168150       25.044211
       1.9170320       24.180165
       1.9172491       23.314070
       1.9174660       22.446876
       1.9176830       21.578109
       1.9179001       20.707289
       1.9181170       19.835373
       1.9183340       18.961884
       1.9185510       18.086821
       1.9187680       17.209702
       1.9189850       16.331490
       1.9192021       15.451221
       1.9194191       14.569861
       1.9196360       13.686928
       1.9198530       12.802420
       1.9200701       11.915852
       1.9202870       11.028195
       1.9205041       10.138439
       1.9207211       9.2474609
       1.9209380       8.3560480
       1.9211550       7.4776049
       1.9213721       6.6549188
       1.9215890       5.9459105
       1.9218061       5.3941618
       1.9220231       5.0534011
       1.9222400       4.9536338
       1.9224570       5.0436609
       1.9226741       5.2321979
       1.9228910       5.4648239
       1.9231081       5.7892261
       1.9233251       6.3874595
       1.9235420       7.5994148
       1.9237590       10.672270
       1.9239761       21.921945
       1.9241930       60.895347
       1.9244101       156.22864
       1.9246271       306.25483
       1.9248440       441.70757
