"Time","CMB b1","CMB r1","CMB z1"
2022-11-21 20:00:00,8.0e-7,8.0e-7,7.9e-5
2022-11-21 20:20:00,8.0e-7,8.0e-7,7.8e-5
2022-11-21 20:40:00,8.3e-7,8.0e-7,7.5e-5
2022-11-21 21:00:00,8.5e-7,8.0e-7,7.3e-5
2022-11-21 21:20:00,9.3e-7,8.1e-7,7.1e-5
2022-11-21 21:40:00,1.0e-6,8.0e-7,6.9e-5
2022-11-21 22:00:00,1.1e-6,8.1e-7,6.7e-5
2022-11-21 22:20:00,1.1e-6,8.2e-7,6.5e-5
2022-11-21 22:40:00,1.2e-6,8.4e-7,6.4e-5
2022-11-21 23:00:00,1.3e-6,8.9e-7,6.2e-5
2022-11-21 23:20:00,1.4e-6,9.2e-7,6.1e-5
2022-11-21 23:40:00,1.5e-6,9.9e-7,6.0e-5
2022-11-22 00:00:00,1.5e-6,1.0e-6,5.8e-5
2022-11-22 00:20:00,1.6e-6,1.1e-6,5.7e-5
2022-11-22 00:40:00,1.7e-6,1.1e-6,5.6e-5
2022-11-22 01:00:00,1.8e-6,1.2e-6,5.5e-5
2022-11-22 01:20:00,1.9e-6,1.3e-6,5.4e-5
2022-11-22 01:40:00,2.0e-6,1.3e-6,5.3e-5
2022-11-22 02:00:00,2.1e-6,1.4e-6,2.7e-5
2022-11-22 02:20:00,2.1e-6,1.4e-6,1.8e-5
2022-11-22 02:40:00,2.2e-6,1.5e-6,1.8e-5
2022-11-22 03:00:00,2.3e-6,1.6e-6,1.8e-5
2022-11-22 03:20:00,2.2e-6,1.5e-6,3.2e-5
2022-11-22 03:40:00,2.3e-6,1.5e-6,1.9e-5
2022-11-22 04:00:00,2.4e-6,1.6e-6,1.8e-5
2022-11-22 04:20:00,2.4e-6,1.6e-6,1.8e-5
2022-11-22 04:40:00,2.6e-6,1.6e-6,1.8e-5
2022-11-22 05:00:00,2.6e-6,1.7e-6,1.8e-5
2022-11-22 05:20:00,2.7e-6,1.7e-6,1.8e-5
2022-11-22 05:40:00,2.8e-6,1.8e-6,1.8e-5
2022-11-22 06:00:00,2.9e-6,1.8e-6,1.8e-5
2022-11-22 06:20:00,2.9e-6,1.9e-6,1.8e-5
2022-11-22 06:40:00,3.0e-6,1.9e-6,1.8e-5
2022-11-22 07:00:00,3.1e-6,1.9e-6,1.8e-5
2022-11-22 07:20:00,3.2e-6,2.0e-6,1.8e-5
2022-11-22 07:40:00,3.3e-6,2.1e-6,1.8e-5
2022-11-22 08:00:00,3.4e-6,2.2e-6,1.8e-5
2022-11-22 08:20:00,3.5e-6,2.2e-6,1.8e-5
2022-11-22 08:40:00,3.7e-6,2.3e-6,1.8e-5
2022-11-22 09:00:00,3.8e-6,2.3e-6,1.8e-5
2022-11-22 09:20:00,4.0e-6,2.4e-6,1.8e-5
2022-11-22 09:40:00,4.1e-6,2.4e-6,3.3e-6
2022-11-22 10:00:00,4.2e-6,2.4e-6,8.0e-7
2022-11-22 10:20:00,4.4e-6,2.4e-6,8.0e-7
2022-11-22 10:40:00,4.6e-6,2.5e-6,8.0e-7
2022-11-22 11:00:00,5.8e-6,2.5e-6,8.0e-7
2022-11-22 11:20:00,9.3e-6,2.6e-6,8.0e-7
2022-11-22 11:40:00,5.6e-6,2.7e-6,8.0e-7
2022-11-22 12:00:00,4.6e-6,2.7e-6,8.0e-7
2022-11-22 12:20:00,4.4e-6,2.8e-6,8.1e-7
2022-11-22 12:40:00,4.4e-6,2.9e-6,8.2e-7
2022-11-22 13:00:00,4.5e-6,2.9e-6,8.1e-7
2022-11-22 13:20:00,4.6e-6,2.9e-6,8.4e-7
2022-11-22 13:40:00,4.7e-6,2.9e-6,9.5e-7
